brand,title,description,featured,active,image,sizes,colors,cost,profit
Ruine,Pensée moins inspirer image mort foule.,"Point mensonge envelopper ah dame.
Réussir seul pourtant journal acheter non voisin. L'Un maître rire le. Douter cela marche ailleurs nul joli.",f,t,static/productImg/DAFITI-SHOES-Tênis-DAFITI-SHOES-Cetim-Bege-1127-0765413-1-zoom.jpg,{38},"{#7E6AE3,#A5D6D8}",259.30,22
Troisième,Étranger être course dépasser.,Tuer phrase ciel bien pierre fruit. Digne école confiance contenter occuper. Fleur ramasser muet retourner.,f,t,static/productImg/DAFITI-SHOES-Bota-Flatform-DAFITI-SHOES-Verniz-Rosa-8943-1763103-1-zoom.jpg,"{44,40,44,37,43,38}","{#4712D4,#6985C3,#DFD158}",173.16,21
Long,Soin étendre ciel semaine.,"Commencement dire santé sous.
Passé mariage recherche ami tantôt. Demande grave maintenant moyen.",f,t,static/productImg/DAFITI-SHOES-Sandália-DAFITI-SHOES-Adriana-Preta-5048-7748071-1-zoom.jpg,"{37,39,42,37,40}","{#90C91C,#E256AE,#D36750,#5DA345}",378.20,40
Meilleur,Déclarer coucher dent exister herbe verser effort.,Digne absolument moi nez vision combien debout. Façon dangereux présenter étonner.,f,t,static/productImg/DAFITI-SHOES-Rasteira-DAFITI-SHOES-Strass-Preta-9509-3590433-1-zoom.jpg,"{45,36,41,46,45,37,45,37}","{#91D859,#60A8CE}",437.17,48
Respecter,Travail reposer toucher quant à.,Présent mot dégager payer. Étoile ah époque inquiétude cent. Seul interrompre aucun colère plus fumée.,f,t,static/productImg/DAFITI-SHOES-Rasteira-DAFITI-SHOES-Veludo-Color-Bege-4256-7856713-1-zoom.jpg,"{38,38,36,36,44,36,38}","{#0D667E,#3614B4,#201721,#FFA7FA}",75.51,10
Creuser,Lier égal pouvoir exemple ligne.,"Signifier liberté odeur hier puis cour on. Y impression ce marché toute.
Livre bande pauvre fort main fatigue. Homme exprimer lit revenir tâche précéder oeil. Saluer partout vendre énergie supposer.",f,t,static/productImg/DAFITI-SHOES-Tênis-DAFITI-SHOES-Cano-Baixo-Preto-7095-1344632-1-zoom.jpg,"{37,44,40}","{#B2844C,#BB575A,#F87808}",63.94,6
Ancien,Habiller habitant tendre attendre sein déjà scène.,"Cela en hôtel haut plaine pourquoi haïr. Naître cinquante ajouter lumière fer. Hiver étage compte.
Semblable passer beau poète face palais couche. Inviter état reconnaître.",f,t,static/productImg/DAFITI-SHOES-Bota-DAFITI-SHOES-Corrente-Preta-3484-5771282-1-zoom.jpg,"{44,46,40,36}","{#E8F09B,#8CCBE8,#7D82C9}",152.06,38
Fait,Article livrer près queue haut théâtre cela.,"Plein nu clef simplement. Accord maître circonstance article terme réunir.
Corps intérêt action voyager garder. Abri prouver trembler souhaiter particulier sac.",f,t,static/productImg/DAFITI-SHOES-Tênis-DAFITI-SHOES-Cetim-Branco-9843-4810123-1-zoom.jpg,"{46,36,39,42}","{#507D3D,#923AEA}",341.18,28
Terme,Retomber plaine spectacle troubler tout.,"Renverser tache deviner creuser. Expliquer joue approcher remettre émotion double chez eaux.
Petit avance effort paraître alors précipiter promener. Secret heureux prétendre rond.",f,t,static/productImg/DAFITI-SHOES-Tênis-DAFITI-SHOES-Cetim-Bege-1127-0765413-1-zoom.jpg,"{41,40,39,36}","{#C1E1BF,#E6481D,#A0A488,#BC2E8E}",173.80,21
Fleur,Déjà douleur battre subir.,Dehors point allumer ensuite vaste roi. Parcourir sens vouloir calme. Tout exprimer mort fixe chair. Coucher exprimer plein étude.,f,t,static/productImg/DAFITI-SHOES-Tênis-DAFITI-SHOES-Pesponto-Bege-9133-4991692-1-zoom.jpg,"{42,43}","{#F699EC,#0388A7,#83AFDD,#85BD66}",297.38,2
